戎,róng,rong,2,戈,lv1
动,dòng,dong,4,力,lv1
扛,káng,kang,2,扌,lv1
扛,gāng,gang,1,扌,lv1
寺,sì,si,4,寸,lv1
吉,jí,ji,2,口,lv1
扣,kòu,kou,4,扌,lv1
考,kǎo,kao,3,耂,lv1
托,tuō,tuo,1,扌,lv1
老,lǎo,lao,3,耂,lv1
巩,gǒng,gong,3,工,lv1
圾,jī,ji,1,土,lv1
执,zhí,zhi,2,扌,lv1
扩,kuò,kuo,4,扌,lv1
扫,sǎo,sao,3,扌,lv1
扫,sào,sao,4,扌,lv1
地,dì,di,4,土,lv1
地,de,de,0,土,lv1
场,cháng,chang,2,土,lv1
场,chǎng,chang,3,土,lv1
扬,yáng,yang,2,扌,lv1
耳,ěr,er,3,耳,lv1
芋,yù,yu,4,艹,lv1
共,gòng,gong,4,八,lv1
共,gōng,gong,1,八,lv1
芒,máng,mang,2,艹,lv1
亚,yà,ya,4,二,lv1
芝,zhī,zhi,1,艹,lv1
朽,xiǔ,xiu,3,木,lv1
朴,pǔ,pu,3,木,lv1
朴,pò,po,4,木,lv1
朴,pō,po,1,木,lv1
朴,piáo,piao,2,木,lv1
机,jī,ji,1,木,lv1
权,quán,quan,2,木,lv1
过,guò,guo,4,辶,lv1
过,guo,guo,0,辶,lv1
过,guō,guo,1,辶,lv1
臣,chén,chen,2,臣,lv1
吏,lì,li,4,口,lv1
再,zài,zai,4,冂,lv1
协,xié,xie,2,十,lv1
西,xī,xi,1,覀,lv1
压,yā,ya,1,厂,lv1
压,yà,ya,4,厂,lv1
厌,yàn,yan,4,厂,lv1
戌,xū,xu,1,戈,lv1
在,zài,zai,4,土,lv1
百,bǎi,bai,3,白,lv1
有,yǒu,you,3,月,lv1
有,yòu,you,4,月,lv1
存,cún,cun,2,子,lv1
而,ér,er,2,而,lv1
页,yè,ye,4,页,lv1
匠,jiàng,jiang,4,匚,lv1
夸,kuā,kua,1,大,lv1
夸,kuà,kua,4,大,lv1
夺,duó,duo,2,大,lv1
灰,huī,hui,1,火,lv1
达,dá,da,2,辶,lv1
列,liè,lie,4,刂,lv1
死,sǐ,si,3,歹,lv1
成,chéng,cheng,2,戈,lv1
夹,jiā,jia,1,大,lv1
夹,jiá,jia,2,大,lv1
夹,gā,ga,1,大,lv1
夷,yí,yi,2,大,lv1
轨,guǐ,gui,3,车,lv1
邪,xié,xie,2,阝,lv1
邪,yé,ye,2,阝,lv1
尧,yáo,yao,2,兀,lv1
划,huá,hua,2,刂,lv1
